,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
9139,2028949,19ODL482948,04A02R15,Mancata fornitura idrica,BAGNONE,BAGNONE,V.LE L. QUARTIERI 27,,BAGNONE,FERRO,90.0,1.0,CLOSE,iso,2019,579192.8582,4907216.0911,337.57,POINT (579192.8582 4907216.0911)
9141,2029015,19ODL483046,02A01R01,PERDITA STRADALE (BLD IN SANATORIA),AULLA,AULLA,Q.RE MATTEOTTI,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2019,577466.2256,4895062.1156,1519.78,POINT (577466.2256 4895062.1156)
9158,1577700,18ODL393636,02A02R02,Perdita acqua dalla rete eseguita il 11 10 2018,AULLA,BIGLIOLO,provinciale 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583836.2636,4898098.5243,304.5,POINT (583836.2636 4898098.5243)
9164,1582711,18ODL398735,10A02R05,Perdita Viale Zaccagna 34 Avenza,CARRARA,AVENZA,VLE D.ZACCAGNA - AVENZA 34,34,CARRARA,FERRO,150.0,1.0,CLOSE,iso,2018,585090.1799,4876534.0585,876.78,POINT (585090.1799 4876534.0585)
9165,1583109,18ODL399184,10A02R07,PERDITA VIALE DA VERRAZZANO 1a MARINA DI CARRARA,CARRARA,MARINA DI CARRARA,DA VERRAZZANO,1a,CARRARA,GHISA,250.0,0.0,CLOSE,iso,2018,584026.2227,4876212.0581,408.57,POINT (584026.2227 4876212.0581)
9189,1541330,18ODL356215,10A02R03,PERDITA GIA ESEGUITA IL 14/08/2018 VIA NUOVA PROV.LE DI NAZZANO,CARRARA,NAZZANO,VIA NUOVA PROV.LE DI NAZZANO,,CARRARA,PVC,110.0,6.0,CLOSE,iso,2018,586129.3414,4878199.3549,269.54,POINT (586129.3414 4878199.3549)
9192,1546033,18ODL360865,10A02R02,Perdita LDT VIGNALETTO 9 lOC. VIGNALETTO SANT'ANTONIO,CARRARA,CARRARA,LDT VIGNALETTO 9,9,CARRARA,PVC,110.0,0.0,CLOSE,iso,2018,585655.733,4879296.1216,269.54,POINT (585655.733 4879296.1216)
9195,1546471,18ODL361444,10A02R03,Perdita VIA PROV.LE CARRARA AVENZA 136/A NAZZANO,CARRARA,CARRARA ADIACENZE,VIA PROV.CARRARA-AVENZA 136/A,136/A,CARRARA,PVC,110.0,0.0,CLOSE,iso,2018,586267.0641,4877855.9369,239.42,POINT (586267.0641 4877855.9369)
9196,1546732,18ODL361786,10A02R03,PERDITA GIA ESEGUITA VIA NUOVA PROV.LE DI NAZZANO LOC. NAZZANO,CARRARA,NAZZANO,NUOVA PROVLE DI NAZZANO,,CARRARA,PVC,110.0,0.0,CLOSE,iso,2018,586160.4312,4878254.0914,269.54,POINT (586160.4312 4878254.0914)
9201,1552135,18ODL367540,10A02R03,PERDITA VIA NUOVA PROV.LE DI NAZZANO LOC. NAZZANO,CARRARA,NAZZANO,NUOVA PROV.LE DI NAZZANO,,CARRARA,PVC,110.0,0.0,CLOSE,iso,2018,586074.2827,4878136.9616,269.54,POINT (586074.2827 4878136.9616)
9203,1552665,18ODL368012,10A02R03,Perdita gia' eseguita in data 10/09/18 via nuova prov.le ( scarpellini) nazzano,CARRARA,NAZZANO,via nuova prov.le,,CARRARA,PEAD,110.0,6.0,CLOSE,iso,2018,586045.955,4878068.0637,679.26,POINT (586045.955 4878068.0637)
9216,2829966,22ODL134429,10A02R07,perdita acqua dalla rete VIALE  ZACCAGNA 18            d'ambrosio,CARRARA,MARINA DI CARRARA,VIALE  ZACCAGNA 18,18,CARRARA,ACCIAIO,160.0,0.0,CLOSE,iso,2022,587888.12,4881268.98,419.76,POINT (587888.12 4881268.98)
9224,2859248,22ODL163103,10A01R06,Perdita acqua dalla rete VIA ACQUAFIORA 6        di bauda,CARRARA,BONASCOLA,VIA ACQUAFIORA 6,6,CARRARA,PEAD,110.0,2.0,CLOSE,iso,2022,587382.63,4878608.44,846.74,POINT (587382.63 4878608.44)
9227,2883785,22ODL187156,36A02A08,da aprire scavo per riparare tubazione,CASTIGLIONE GARFAGNANA,COLMASCHIO,boccaia,0,PIEVE FOSCIANA,FERRO,90.0,0.0,COMP,iso,2022,616882.76,4892736.87,0.0,POINT (616882.76 4892736.87)
9228,2888655,22ODL191977,10A01R02,Perdita acqua dalla Rete (Via Roma 7),CARRARA,CARRARA,VIA CAVOUR - CARRARA 8/B,8/B,CARRARA,PEAD,110.0,0.0,COMP,iso,2022,587918.62,4881061.72,0.0,POINT (587918.62 4881061.72)
9298,471745,15ODL143674,10A06R01,PERDITA STRADALE VIA MISEGLIA LOC. MISEGLIA,CARRARA,MISEGLIA,MISEGLIA,0,CARRARA,PEAD,90.0,0.0,CLOSE,iso,2015,588722.3541,4881686.2165,879.0,POINT (588722.3541 4881686.2165)
9304,477020,15ODL148771,27A09R01,PERDITA RETE S.P. VIA OLIVETI KM 1 + 500,MASSA,MASSA,PROV.OLIVETI AL KM . 1+500 0,,MASSA,FERRO,250.0,0.0,CLOSE,iso,2015,588993.5059,4875402.144,394.52,POINT (588993.5059 4875402.144)
9321,491410,15ODL163113,27A09R02,150,MASSA,MARINA DI MASSA,VIA SAN LEONARDO 309,,MASSA,ACCIAIO,150.0,0.0,CLOSE,iso,2015,588692.3729,4873988.4415,585.36,POINT (588692.3729 4873988.4415)
9326,1558615,18ODL374055,27A09R02,Perdita acqua da allaccio VIA FLAVIO TORELLO BARACCHINI 39      Rappelli,MASSA,MASSA,VIA FLAVIO TORELLO BARACCHINI,39,MASSA,FERRO,110.0,0.0,CLOSE,iso,2018,586231.6289,4876297.0526,290.3,POINT (586231.6289 4876297.0526)
9348,1583100,18ODL399172,10A02R03,PERDITA VIA NUOVA PROV.LE DI NAZZANO 20,CARRARA,NAZZANO,NUOVA PROV.LE DI NAZZANO 20,20,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,586147.0094,4878228.7096,269.54,POINT (586147.0094 4878228.7096)
9383,2111046,20ODL180094,25A01R18,Perdita acqua dalla rete strada provinciale costamala licciana,LICCIANA NARDI,CERIA/CA' DI RECCA,STRADA PROVINCIALE N. 55 DI COSTAMALA  NEI PRESSI DEL CIVICO 31,31,LICCIANA NARDI,PEAD,90.0,0.0,CLOSE,iso,2020,578383.7067,4897972.8024,476.4,POINT (578383.7067 4897972.8024)
9393,1658656,18ODL476160,10A04R01,PERDITA VIA FOSSONE ALTO 23 FOSSONE,CARRARA,FOSSONE,FOSSONE ALTO,23,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,584158.5489,4880057.6338,539.08,POINT (584158.5489 4880057.6338)
9394,1665768,19ODL107044,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,antonio meucci 2,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2019,583806.2179,4897982.0723,507.69,POINT (583806.2179 4897982.0723)
9395,1670278,19ODL111553,02A02R02,Perdita acqua dalla rete eseguita il 06 01 2019,AULLA,BIGLIOLO,VIA MEUCCI 2,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2019,583755.687,4897853.0235,317.09,POINT (583755.687 4897853.0235)
9420,499838,15ODL171172,27A09R01,"PERDITA ALLACCIO VIA CELIA, 2",MASSA,ROMAGNANO,VIA CELIA,2,MASSA,PVC,90.0,0.0,CLOSE,iso,2015,588143.262,4876503.8409,305.81,POINT (588143.262 4876503.8409)
9422,503745,15ODL174781,27A09R02,"PERDITA RETE VIA SAN LEONARDO, 271  ANG. VIA VENEZIA",MASSA,MARINA DI MASSA,VIA SAN LEONARDO,271,MASSA,FERRO,150.0,0.0,CLOSE,iso,2015,588700.8209,4874006.4144,334.67,POINT (588700.8209 4874006.4144)
